epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,390,0.017016149178529397,0.00505525393363757,1.7249379350588872,34.689503205128204,86.39623397435898,65.3104967948718,13.603766025641022,0.013904619820510285,0.011127314990079856,1.7502756763458251,38.14,87.76,61.86,12.239999999999995
2,780,0.013835805501693334,0.0027724626736763194,1.250003322118368,54.44110576923077,94.75961538461539,45.55889423076923,5.240384615384613,0.013937083980705164,0.010888579525525056,1.8311679334640503,44.54,91.31,55.46,8.689999999999998
3,1170,0.013848211826422275,0.0024203936258951823,1.0172553015060914,63.76602564102564,96.65464743589743,36.23397435897436,3.345352564102569,0.01420054858243918,0.010201013540919823,1.2890901473999024,57.07,95.52,42.93,4.480000000000004
4,1560,0.013991608375158065,0.0022884564521985177,0.8945624168102558,68.22916666666667,97.44391025641026,31.77083333333333,2.5560897435897374,0.013886955719959886,0.0102928348734409,1.1673375947952271,61.53,97.84,38.47,2.1599999999999966
5,1950,0.013767167238088754,0.002575261164934207,0.806059791185917,71.6025641025641,98.06290064102564,28.397435897435898,1.9370993589743648,0.013915004609506341,0.0109101548979554,0.8534220150947571,70.46,97.87,29.540000000000006,2.1299999999999955
6,2340,0.013841537940196501,0.0024109522501627604,0.7211792861039822,74.90584935897436,98.43149038461539,25.094150641025635,1.5685096153846132,0.014179742788966698,0.010670740393143667,0.8381717710494995,72.15,97.61,27.849999999999994,2.3900000000000006
7,2730,0.013889928964468149,0.0022170390838231794,0.656548833541381,77.16546474358974,98.6358173076923,22.834535256410263,1.3641826923076934,0.01603426208978967,0.013366623769832563,0.790504376411438,73.93,98.52,26.069999999999993,1.480000000000004
8,3120,0.014022327692080767,0.0024303772510626378,0.6068252340341226,78.89823717948718,98.8681891025641,21.101762820512818,1.1318108974358978,0.014100599892531769,0.010411736331408537,0.7250390719413757,75.99,98.69,24.010000000000005,1.3100000000000023
9,3510,0.01354828736720941,0.001955539140945826,0.5693803469340006,80.30849358974359,99.02844551282051,19.69150641025641,0.971554487179489,0.014014563982999778,0.010692982734004153,0.6452680326461792,78.49,98.7,21.510000000000005,1.2999999999999972
10,3900,0.013349536749032827,0.0020302613576253254,0.5380538283250271,81.13982371794872,99.1386217948718,18.860176282051285,0.8613782051282044,0.013885857183722001,0.010488842107072661,0.7882424211502075,75.15,98.65,24.849999999999994,1.3499999999999943
11,4290,0.013690881851391914,0.0022329538296430537,0.518007524120502,81.94711538461539,99.16666666666667,18.052884615384613,0.8333333333333286,0.013849795619143715,0.011099649381033982,0.8821751534461975,72.72,98.68,27.28,1.3199999999999932
